O75586	Q9NVC6
Q06265	Q5RKV6
Q9BZJ0	Q9UNP9
Q15046	Q12904
Q15542	Q6P1X5
Q9NQT4	Q99547
P54136	P41252
P60228	Q9UBQ5
Q8IZP0	Q92558
P51665	Q9UNM6
Q9BUL8	Q9Y6E0
O00231	P48556
Q9ULK4	O60244
Q13889	Q6P1K8
Q9UBQ5	B5ME19
P20042	P05198
P40938	P35250
Q86YP4	Q9UBB5
P62333	O00231
P60900	O14818
P62195	O00232
J3KPD9 Q32Q12	P68106
O00233	P62195
Q9HCS7	Q9BZJ0
Q9HCS7	Q9ULR0
Q96F07	Q9Y6W5
Q8NI27	Q86W42
Q13769	Q6I9Y2
Q99436	P28062
P28066	P25789
Q8TAA3	Q99436
Q9BTC8	Q8WXI9
Q96N11	Q6P9B9
Q96F07	Q92558
Q8NBJ5	Q02809
P63172	Q14204
O95639	Q9P2I0
P62333	P48556
P22392	P68106
Q13155	P54136
O00232	Q9UNM6
Q13813	Q01082
Q99460	P43686
Q13042	Q9UJX6
Q9P2J5	Q15046
O43242	Q9UNM6
P09651	P55795
Q9NVU0	P05423
O75175	Q92600
Q8WXI9	Q13330
Q9BTC8	Q86YP4
A5YKK6	Q9UIV1
Q6P2C8	Q9NVC6
P48643	P78371
Q6VMQ6	Q15047
P60900	P28074
Q9UJX5	Q9UJX2
Q6VN20	Q9H7D7
P60900	P25788
P20618	P28062
Q8TAQ2	Q15532
Q9NR50	Q9UI10
Q9NPI1	Q68CP9
P60900	P25789
Q99613	P55884
P20839	P12268
Q96G25	Q15648
Q14683	O60216
Q8WVM7	O60216
O15143	P61160
O00233	O00232
Q6P4R8	Q9H9F9
Q9NV70	Q96KP1
O94776	Q13330
P50991	Q99832
P11021	P14625
Q9NVC6	Q9UHV7
Q06265	Q9NQT4
Q96GM5	Q4VC05
Q12824	Q8NFD5
Q12904	P41252
Q92526	Q99832
Q15046	Q13155
Q9UNP9	Q9HCS7
P28070	P25788
O43237	P63172
Q9C0J8	Q9P2I0
Q9UJX2	Q9UM13
Q9H1A4	Q9UJX3
Q56P03	Q9Y312
P24928	P36954
Q9HBM6	Q15542
O95721	O15400
Q75N03	Q15007
P62333	P17980
Q8TAQ2	Q969G3
Q93074	Q71F56
P61289	Q9GZU8
P29692	P68104
P41252	Q9P2J5
Q9BUQ8	Q6P2Q9
Q969G3	Q12824
Q13155	Q9P2J5
P55036	P35998
O00233	Q9UNM6
P23246	Q15233
P56192	P07814
P24928	P52435
O14964	O75886
Q32P28	O75718
Q8WVC0	Q6P1J9
P17612	P13861
Q16181	Q9P0V9
Q9BTC8	O95983
P62195	Q16401
O00567	Q9Y2X3
Q15019	Q9NVA2
O94906	O43395
P61160	P61158
P19387	P62487
O75586	Q6P2C8
O15212	P61758
P41252	P07814
O00268	Q15545
P33992	P25205
Q92784	O14497
O15160	Q3B726
Q7L5N1	Q99627
Q9BUQ8	O94906
P55884	O15371
P53618	P53621
Q16401	Q13200
P28062	P25789
Q6IBW4	P42695
P25789	P25788
Q96HR3	Q6P2C8
Q15046	P07814
Q8TAA3	P28070
Q15008	O75832
Q9NPD3	Q01780
Q9UHV7	Q15648
Q9HCC0	Q96RQ3
Q8WUZ0	Q92785
P61011	P09132
Q12996	Q9H0L4
Q9NXF1	Q5SY16
P62195	O75832
Q8IZL8	Q5SY16
J3KPD9 Q32Q12	P06733
P55036	O75832
Q15436	O95486
Q12769	Q9BW27
Q9UBW8	Q99627
P43686	P62191
Q15648	Q6P2C8
Q9NV88	Q6P9B9
Q99547	Q01780
O43242	Q16401
Q12789	Q9Y5Q9
P28072	P25788
P55160	Q96F07
O14818	P25788
Q01780	Q9NQT5
P62979	P62987
Q9BRX5	Q9BRT9
P62333	O00233
P43686	O75832
P49368	P50991
Q8NFD5	Q4VC05
Q16181	Q92599
P51532	Q15532
Q99459	Q9UMS4
Q8TAQ2	Q92922
P33991	P25205
P28066	P25788
Q07864	P56282
Q9NQT5	Q5RKV6
Q9BV38	Q5SY16
P43686	P17980
P62191	O00487
Q9BZJ0	O60306
P55036	O00231
Q9NQT4	Q5RKV6
P43686	P62195
O95602	Q3B726
Q15008	O00231
P49736	Q14566
Q9NX70	O60244
O00268	P21675
Q15008	P17980
Q9UJX4	Q96DE5
O14818	Q99436
Q14152	Q9UBQ5
Q99436	P28074
Q15024	Q9NQT5
Q9ULR0	O60306
P60900	Q99436
O43264	P50748
Q9UNP9	O60306
P35249	P35250
O94906	O95400
Q96HW7	Q9NV88
P60900	P28062
O43242	O00232
Q6KC79	Q9Y6X3
P51665	P48556
P43686	O00233
Q9Y3A3	Q9NRL3
Q9NWU2	Q96S59
P51948	P50613
A0JLT2	Q9Y2X0
Q8WVC0	Q6PD62
P30876	P19387
Q9UHV7	O75586
O00487	P51665
Q9BRX5	Q14691
Q15008	P48556
Q5VSL9	Q14BN4
Q9Y5B9	Q08945
O75643	O43290
Q9NTJ3	O95347
Q6STE5	Q92785
Q4VC05	Q8TAQ2
Q9NVU0	O15318
O00231	Q13200
Q01081	P26368
P51531	Q92784
Q9NZL9	P31153
Q99832	P50990
Q9NWV8	Q9NXR7
P25786	P49721
Q9BUI4	O75575
P62333	P51665
Q15542	P49848
Q14232	Q13144
P51531	Q92785
O15446	Q9GZS1
P49848	Q5VWG9
O60341	Q9P2K3
Q9Y2A7	Q96F07
Q9UJX5	Q9UJX6
Q16181	Q14141
O43242	P17980
O75175	A5YKK6
P30153	P30154
Q9H944	O75586
P40227	P78371
Q969G3	Q8WUZ0
Q9H9Y6	O15160
Q8WUM0	Q8WYP5
Q15021	Q15003
Q9BUI4	Q9NVU0
P35244	P15927
Q96GM5	P51531
O94906	Q15029
Q9H9Q2	Q7L5N1
P32780	Q13888
Q9H1B7	Q7Z5L9
P28062	P28072
P17980	O00487
Q15648	Q9NVC6
P48556	P35998
Q96G25	Q9NPJ6
P60228	O00303
Q12769	Q8WUM0
P55036	Q99460
P25786	P28062
O95782	P63010
P30260	Q13042
Q9BUE0	Q9ULK4
Q15269	Q12788
Q13888	Q92759
Q16181	Q9NVA2
P19387	P62875
Q99460	O43242
P51531	Q92925
Q9HCE5	Q86U44
Q8N8S7	Q9UI08
P54136	Q9P2J5
Q9H944	O60244
Q68E01	Q8N201
Q9Y262	O15371
P25787	P25789
P62191	P17980
O15514	P24928
Q9UBB5	Q13330
P51532	Q8TAQ2
Q15024	Q01780
O14497	P51531
P41252	Q13155
P43686	P55036
Q9NTI5	Q29RF7
Q99460	Q9UNM6
Q9Y5L4	Q9Y5J9
Q9H944	Q9NVC6
Q9NUG6	O94763
Q9NX70	Q9BUE0
O00268	Q12962
Q9NSD9	Q9Y285
Q9BQ15	Q9NRY2
Q9UJW0	Q9BTE1
Q13155	P47897
P62258	Q04917
Q9UHV7	O60244
Q9Y3D8	Q15542
Q96KP1	Q96A65
Q12904	P47897
P51991	P52597
Q15024	Q9NQT4
Q92526	P50990
Q9UJX4	Q9UJX5
O60244	Q15648
Q32P51	P55795
Q92599	Q9P0V9
Q9UJW0	P42025
O00487	P55036
Q2TAY7	Q13123
Q8NBZ0	Q9H9F9
P50991	P78371
P19447	P32780
P62136	P36873
P29692	P26640
Q15024	Q13868
O60244	Q9NVC6
P35998	Q9UNM6
O75832	O00487
P25205	P49736
Q9NQT4	Q9NQT5
P46060	Q99666
P19387	P52435
P05198	P41091
Q9H944	Q15648
P20618	Q8TAA3
P13010	P78527
P09622	P36957
Q6P2Q9	Q15029
P10515	P09622
P17987	Q99832
P25205	Q9BTE3
P50502	Q9UKS6
Q9UM13	Q9UJX6
Q15046	P47897
Q9UJX5	Q96DE5
Q13889	P32780
Q99436	P25787
Q8NFD5	P51531
Q9NPJ6	A0JLT2
O94906	Q8WWY3
Q15007	Q5T200
Q15428	Q15459
Q15019	Q9P0V9
P62191	Q9UNM6
Q6P2Q9	O43290
Q8TAA3	P28072
P28072	P25789
Q96MF7	Q8WV22
O75575	Q9NVU0
Q15029	O43172
Q8IWX8	O15042
P50750	O60583
Q8WV22	Q8IY18
Q9NPD3	Q15024
P50502	Q9UNF0
Q9NQP4	Q9UHV9
Q9BV38	Q9H4L4
Q9H9Q2	Q99627
J3KPD9 Q32Q12	P37802
P32119	P30048
Q8WUZ0	O14497
Q9UHV7	Q9BUE0
O00487	P62195
Q9BSJ2	Q96RT7
Q9H1D9	P05423
O15212	Q99471
Q99567	P37198
P25786	P28074
Q8WVM7	Q8NDV3
Q15008	O00487
Q16401	P51665
Q9HBM6	P49848
O94906	O75643
P51532	Q92784
Q96GM5	O14497
Q9NVH2	Q96N11
Q9NVM9	Q9H0H0
P51991	P31942
Q9UBQ5	Q99613
Q9NVU0	Q9H1D9
P11441	P46379
Q13769	Q96J01
Q9UJW0	O00399
Q15269	Q8NI36
P14868	P07814
Q99460	O00487
Q9BUE0	O75448
Q12824	Q92925
P33991	Q14566
O14802	Q9NVU0
P51532	Q92922
P61201	Q92905
Q9UNM6	P48556
Q12824	Q9BQE9
Q9H1A4	Q13042
P35998	O00231
Q16181	Q99719
Q9H1I8	Q15650
Q96J01	Q8NI27
P48444	P53621
Q9H944	Q96G25
B5ME19	P55884
Q86W42	Q6I9Y2
Q9UMS4	O75934
Q9Y4W2	Q9NXF1
P21675	Q5VWG9
P62191	Q13200
Q06265	Q13868
P48444	P53618
O00233	Q15008
Q9UBW8	Q7L5N1
O14802	Q9Y535
O00303	O15371
P33992	Q9BTE3
P68104	P26641
Q92922	Q12824
Q99436	P25789
P30260	Q9UJX3
O43172	O43290
Q96EY5	Q9H9H4
O14818	P49721
P35606	Q9Y678
P25787	P25788
Q9H944	Q9NPJ6
P62333	O75832
Q9NX70	Q9NVC6
Q9H0H0	Q8N201
O43242	O00233
O15514	P62487
Q86XI2	P42695
Q9UNX4	Q15269
Q9UM13	Q9UJX3
Q13889	Q92759
Q16181	Q9UHD8
P36954	P19387
Q96J01	Q86W42
Q9HCS7	O60306
P51531	Q8TAQ2
Q9NVM9	Q9NVH2
P54136	Q12904
Q8WWY3	Q6P2Q9
Q12824	Q92785
P60900	P25786
P28070	P28072
Q99436	P25788
P35998	O00487
Q9NVR2	Q9H0H0
P55036	P62333
Q96HW7	Q5TA45
Q9NY27	Q6IN85
P22392	P37802
Q12824	Q6STE5
P32780	Q92759
Q9Y3D8	Q12962
Q8TAQ2	Q92785
Q96B26	Q99547
Q99460	O00232
Q92922	Q15532
Q92747	P61160
P19387	O15514
Q8NDV3	O60216
Q9H1Y0	Q676U5
Q8WXI9	Q12873
P62191	O00231
P40938	P35249
Q9Y244	P25789
Q9Y3B2	Q13868
P20618	P60900
P50613	P51946
Q9BUE0	Q15648
Q9Y262	O00303
Q15648	O75586
Q12873	Q13330
P33240	Q9H0L4
Q9NWU2	Q6VN20
P28070	P49721
Q96EY5	Q99816
P14868	P47897
Q8WUZ0	Q15532
P31946	P61981
Q9UBD5	Q13416
P48643	P17987
Q8WXI9	Q86YP4
Q10570	Q9C0J8
Q9NX70	Q9NPJ6
O43242	Q13200
Q99460	Q15008
Q99460	P62195
Q8TAA3	P28066
O75586	A0JLT2
P25205	P33993
O00233	P48556
P50750	O60563
O14964	Q92783
Q9BUQ8	O75643
P35658	P37198
Q96G25	Q9NVC6
Q68E01	Q9NRY2
P35606	P53618
P56192	Q13155
P47755	P47756
Q9NV88	Q5TA45
Q15019	Q9UHD8
Q9NW08	O75575
Q96G25	Q6P2C8
Q9NQT4	Q96B26
Q9UHV7	Q6P2C8
Q9Y262	Q99613
Q9Y3B2	Q99547
Q9NVC6	Q9Y2X0
Q92889	P07992
O00232	Q15008
P43686	O00231
Q10570	Q9P2I0
Q07157	Q9UDY2
Q9H0E3	Q96ST3
Q9NPD3	Q9NQT5
Q13112	Q13111
Q9HBM6	O00268
P62140	P36873
Q9NX70	O75448
P19447	Q13889
O94913	Q92989
Q86U86	Q68CP9
P51531	Q12824
P35998	O00232
O15160	O95602
Q9Y248	Q9BRT9
P20618	P25787
P17980	O00231
Q9Y2S0	O15160
P57740	Q8NFH4
O00399	Q9BTE1
Q9NTI5	Q9UQE7
P62318	P62304
Q13868	Q9NQT5
Q96FX7	Q9UJA5
Q9BUI4	Q9Y535
O75586	Q9BUE0
Q9BUL8	Q9P289
P17980	P51665
Q9NYF8	Q9Y2W1
Q9H944	A0JLT2
P62333	P62191
Q14141	Q99719
Q15532	O14497
P51531	Q6STE5
Q06265	Q9NPD3
Q16401	P35998
Q9UJX5	Q9UJX3
O95400	O43290
Q13144	P49770
Q8TAQ2	Q96GM5
O94855	P53992
P43686	Q16401
Q9Y265	Q9Y230
Q9NZ32	P61163
Q96HW7	Q96N11
O75832	Q13200
Q9Y3A3	O43815
P35998	P17980
O94906	O43172
Q99547	Q9NQT5
P20618	P28066
Q69YN4	Q5T200
O75175	Q9NZN8
Q92922	O14497
Q96MF7	Q8IY18
Q15019	Q14141
Q9UHV7	Q96G25
P56192	P47897
Q06265	Q15024
O00231	P62195
O14802	Q9BUI4
Q06265	Q99547
Q96GM5	Q9BQE9
Q15021	Q9BPX3
P13010	P12956
O43290	Q15029
P47897	P07814
P62333	O00487
P52435	P30876
Q8TAA3	P25789
Q12824	Q4VC05
Q9BXS5	Q10567
P40938	P40937
O75586	Q9Y2X0
Q8WUZ0	Q92925
Q8N201	Q9NVH2
P28074	P25788
P53992	O95486
Q9Y3D8	O00268
O95602	Q9Y2S0
P51531	Q15532
P51531	Q92922
Q9Y3D8	Q15545
P62136	P62140
O14497	P51532
Q13200	P62195
Q8IZP0	Q9Y2A7
Q99460	O00231
P62333	Q15008
Q9NW08	O15318
Q9BPX3	Q15003
P20618	P49721
Q8IZP0	Q9Y6W5
Q14151	Q15424
P22392	P09104
Q96DE5	Q9UJX3
Q9H9Y6	Q3B726
P35998	Q15008
P17987	P50990
P62258	P63104
O14802	O75575
Q9UQ88	Q9UHR5
Q9NVA2	Q99719
P61160	O15144
P43686	Q15008
Q9BRX5	Q9Y248
