P62158,P48507
P55064,P35754
P42574,P35754
P07307,P00367
P54707,P08754
P42684,Q6PIJ6
P04746,P08069
P51946,Q08379
Q92934,P31947
Q99459,Q14449
P51959,P28799
P04003,P78347
P30203,P46976
Q10589,Q16775
P04233,P40939
P09110,Q6PKC3
Q99741,P61086
P07306,P15822
Q12983,P15822
P38398,P15822
P18848,P52790
P30304,P04222
P10321,P30499
P30501,P30504
P30505,P30508
P30510,Q07000
Q29865,Q29960
Q29963,Q95604
Q9TNN7,P04424,P09601
O95255,P22736
P22736,P05155
Q06278,P28749
Q13557,P50135
P25445,P07910
P07307,Q14469
Q16611,P51659
P55211,P51659
Q13490,Q13077
Q13490,Q12933
Q13489,Q12933
Q13489,P63165
Q9UQB9,O15392
P38398,P10809
Q06481,P61254
P02647,P52333
P02647,P10451
P04114,P84022
Q13557,P38484
P05067,O43399
P25445,O15273
P25445,O95243
P30304,P26951
P55064,P09544
P01730,O15357
O95255,P09958
P10398,P36507
P10398,Q15569
P00966,O60674
P60033,P52333
P18848,P17275
P23560,P17275
P38398,P14923
P30038,P05089
Q99459,P05783
P61586,P04844
Q04206,Q00796
Q9Y4F9,P61586
O15085,P61586
Q10588,P18428
P04003,P18428
P18848,P20700
Q99459,P25791
P30304,P25791
P24385,P06858
P51959,Q9NS15
P27540,Q13829
P49407,O00459
P49407,P45984
P49407,P61313
P30304,P84022
P32121,Q00987
P15289,P45877
O75081,O00339
P18848,Q00987
P04424,Q12889
P33527,P25311
P00966,P02795
P00966,P18031
P30304,Q13126
P30281,P10242
P49662,P35579
P18848,O14733
P18848,P62753
P18848,P21980
P18848,Q9Y297
P18848,O95721
P07738,P51956
P51959,Q14934
P30203,Q14494
P09564,P25963
P30304,Q15653
Q07021,O00221
P54707,P01303
P54707,P23284
Q92851,Q9UBC1
P30304,P23511
P30281,P15531
P25705,Q9UBS0
P30043,P02763
P56539,Q15365
P36542,P01009
P00736,P35558
P08183,P01730
Q06187,P00749
Q99437,P61981
Q93050,O95219
Q15904,O75469
P08571,P52435
P08571,Q96LZ3
P55212,O43741
Q14790,P41743
P27482,P31152
P30281,Q16659
P49913,P45983
P62158,P25105
Q92934,P32119
Q92934,P62258
Q92934,Q04917
Q92934,P63104
Q92934,Q14145
O15382,P41222
Q99933,P06737
P30304,P40855
P38398,P50542
P53801,P20338
P34810,Q12967
P51946,P10826
P24385,Q15276
P02746,Q04206
P00751,P15927
P42575,P62888
P30043,P62899
Q13557,P62701
Q96G01,P40763
Q13323,P24468
Q13323,O14543
P02745,O43765
P35226,O14508
P04003,Q96GM5
Q99459,Q96GM5
Q14790,P62318
Q12983,P21980
O60238,O14936
P30304,P35711
P38398,O15164
P07384,P40763
P04632,P40763
O43683,O43684
P22748,P32119
