Q99608,P57088
Q9Y5J5,Q92621
Q5TCY1,Q6IQ55
Q14164,P31939
Q38SD2,P05109
P27348,Q9UDY2
Q9NPH0,Q15404
O15479,P62899
P62140,O60927
Q15287,Q9C0J8
Q7L1Q6,O43586
P24941,P61081
O60496,P61026
P43686,Q9UNM6
Q06609,Q9Y5L4
O75385,O95166
Q9Y2Q3,Q14203
Q99608,P62280
Q9BRX2,Q9Y265
O43586,Q9Y265
P62380,P52655
P31946,Q9UDY2
Q9HAW0,Q9NVI7
Q16394,P26441
Q9UBC1,Q9H307
Q12974,Q93096
Q9NY93,P61247
P01106,Q8N1F7
Q9Y2Q3,P99999
Q14164,P55072
P23508,P48730
Q9Y2Q3,P04844
Q9Y2B9,P57735
O76081,Q15126
Q9Y265,P37268
P49407,Q14137
Q9HAW0,Q9C0E2
Q96JB5,P40616
O76071,O00159
Q96BK5,P46783
O43586,Q7L1Q6
Q9Y675,O75716
P19532,Q13617
P49407,P68400
Q93063,Q9Y4L1
P41235,Q93063
Q9HC98,Q8TEX9
P61026,P61966
O43665,O00422
Q01995,P06702
P78549,P12883
P40337,O15067
P27348,Q9NZT1
P63104,O00273
Q9NVD7,Q9H2U1
O43586,P46778
P61981,Q8NEM2
P27348,O96013
Q14240,P06730
Q15773,O95816
O76081,O15269
O00422,P39656
Q9Y4K3,P11586
Q9NSA3,Q9H3G5
O00255,Q9NS64
P78549,P36639
Q15287,Q9BUQ8
P62380,P52657
P23508,P35580
O75716,Q9NPJ1
Q9Y5L4,Q9Y5J9
Q9HAW0,P56192
Q9NSA3,Q9H3G5
Q93063,P26441
Q9BZ23,Q9BS40
O43586,P62899
Q15287,Q9UQ35
O60232,Q9Y230
P23528,Q01995
O95995,O76071
Q38SD2,Q86UR5
O15479,P62263
P22392,P62807
P22392,P61626
Q9UNM6,P48556
P40337,Q15369
P62330,P49366
O43427,O15294
O15479,P62249
O96013,P60953
P43686,P17980
O75940,Q01844
P49407,P36575
O00182,Q15758
P43360,P39656
Q9HC98,Q8TDX7
P62380,Q15126
P31946,P85037
Q9NSA3,Q9UL42
O75618,Q9H6Z4
P23508,P05783
P78549,Q9Y623
P41220,Q9P2D0
P61081,P10644
P32121,Q14137
Q7L1Q6,P24390
P78545,O00571
P27348,Q8IUF1
Q9NVP2,O60496
P49841,Q96QU8
P41235,O75716
Q9UBE0,P55854
P40337,P20618
Q9UJU6,Q9ULA0
P15090,O76070
Q14164,P13797
P23508,P06753
Q9HC98,P42704
P22392,P52434
Q9BZ23,P21796
Q96T60,Q13426
O75688,P09327
Q15287,Q16630
Q9NY93,P49207
O00273,O76075
P50053,P31025
Q9UBC1,P82930
Q9Y4K3,P49321
P31946,Q9Y6M7
Q9NPH0,Q9H2U1
Q9NY93,P46781
O75618,P50053
P50053,P61626
Q9Y6F1,P35244
Q9Y2B9,Q9Y664
Q96T60,O60936
P62140,Q12972
P43686,P35998
