Q08117	Q9UJX0
Q08117	Q9NX04
Q08117	A5D8V6
Q08117	Q96EP0
Q08117	Q96A72
Q08117	Q8IX15
Q08117	Q9Y333
Q08117	Q9HBI0
Q08117	Q9H257
Q08117	Q8WTP8
Q08117	Q9BWG6
Q08117	Q9H609
Q08117	Q96CA5
Q08117	Q8IV13
Q08117	Q9H9H4
Q08117	Q9H5Z6
Q08117	Q8N684
Q08117	Q9BZW7
Q08117	P79522
Q08117	Q9Y3Q8
Q08117	Q96PN8
Q08117	Q969R5
Q08117	Q9BRQ3
Q08117	Q9BQY4
Q08117	Q8N5A5
Q08117	Q9BSW2
Q08117	Q6P1W5
Q08117	Q96I34
Q08117	Q8TES7
Q08117	Q9UFD9
Q08117	Q96JC9
Q08117	Q8WV44
Q08117	Q5T124
Q08117	O15409
Q08117	Q96Q77
Q08117	A1L4K1
Q08117	Q6A162
Q08117	Q8TAB5
Q08117	Q8IYR0
Q08117	Q7RTU3
Q08117	Q86V42
Q08117	Q8HWS3
Q08117	Q2TAC2
Q08117	P60409
Q08117	P60411
Q08117	P60410
Q08117	P60369
Q08117	Q7Z3S9
P30556	Q13956
P51843	P62508
P51843	Q13285
P23526	P23526
P23526	Q92624
P23526	Q9BV19
P23526	Q6AI12
P31749	P56279
P13196	P13196
P13196	Q4VC05
P13196	O60437
P13196	Q15560
P13196	P62328
P13196	O43516
P13196	Q9Y473
P13196	P63313
P13196	Q9Y2K6
P13196	Q68DK2
P13196	Q9Y2S7
P13196	Q8TD31
P13196	Q9NVN8
P13196	Q9NWW7
P13196	Q96L91
P13196	Q9H788
P13196	Q8TCT0
P13196	Q5W5X9
P13196	Q6P1J9
P13196	Q5H9K5
P13196	Q17RB8
P13196	Q6P444
P13196	Q7Z614
P13196	Q8WTR2
P13196	Q8WW24
P13196	Q8TBZ8
P13196	Q6PF15
P13196	Q17RB0
P22557	Q8N9N5
P00352	P00352
P43353	Q15323
P43353	Q9BYR5
P43353	Q6A162
P43353	P60409
P43353	P60411
P43353	P60370
P43353	P60410
P43353	P60369
P43353	Q7Z3S9
P04075	P04075
P04075	P09972
P04075	P05014
P09972	Q8TBB1
P09917	P50221
P09917	Q04864
P09917	Q9Y6D9
P09917	Q6UWX4
P09917	Q96MT8
P09917	Q8N0S2
P09917	Q86Y26
P09917	Q8IYX8
P09923	P60411
P09923	P60410
P09923	P60369
P09923	Q7Z3S9
P05187	P26371
P05187	Q9BQ66
P05187	P60369
P02760	Q13643
Q01433	Q01433
Q01433	O95273
P49418	P48454
P49418	Q05D60
P49418	Q0P5N6
P12236	P36406
P12236	Q15323
P12236	Q13077
P12236	Q15654
P12236	Q9UJV3
P12236	Q5JR59
P12236	Q9BRK4
P12236	Q8WW24
P12236	Q7Z3S9
P04083	O14770
P09525	Q9UM07
P50995	O75340
P50995	Q92734
P50995	Q53EZ4
P50583	Q14566
P13798	P13798
P13798	O00214
P13798	P53990
Q13490	P55211
Q13490	P14136
Q13490	P08949
Q13490	Q9Y3E2
Q13490	Q96HA8
Q13490	Q96CJ1
Q13490	Q9NQT4
Q13490	Q96CA5
Q13490	Q96CN9
Q13490	Q9BZW7
Q13490	Q8N3J5
P98170	P55211
P98170	Q92851
P98170	P61024
P98170	P19447
P98170	P40937
P98170	O43353
P98170	Q9HC98
P98170	A5D8V6
P98170	Q17RB8
P98170	Q9Y2D8
P02647	Q96DZ9
P02652	Q8NEC5
P05090	Q9P0L0
P48023	Q15654
P48023	O76081
P48023	Q6A162
P48023	Q7Z3S9
P29972	P29972
P29972	P36406
P29972	P01100
P29972	Q15323
P29972	Q14525
P29972	Q8IUQ4
P29972	P15884
P29972	Q13077
P29972	Q12933
P29972	Q15654
P29972	O76081
P29972	Q07912
P29972	O43597
P29972	Q9UJV3
P29972	Q9UKT9
P29972	Q9UKS7
P29972	Q5JR59
P29972	Q9UGC6
P29972	Q7L273
P29972	Q9NQ79
P29972	Q96S65
P29972	Q96JN2
P29972	Q9C0F1
P29972	Q9BYQ4
P29972	Q9BYR5
P29972	Q9UFD9
P29972	A1L4K1
P29972	Q6A162
P29972	Q8N8K9
P29972	Q2TAC2
P29972	Q8IYA8
P29972	P60409
P29972	P60369
P29972	Q7Z3S9
P55064	P61978
P55064	Q15323
P55064	Q6A162
P55064	Q7Z3S9
O43315	Q969F0
P10398	P01116
P10398	Q6RW13
P36406	P36406
P36406	Q99933
P36406	Q01850
P36406	P10606
P36406	O43602
P36406	Q92608
P36406	P23769
P36406	P09067
P36406	Q9BVG8
P36406	P02538
P36406	O00214
P36406	P25791
P36406	O43189
P36406	O00459
P36406	P25786
P36406	Q8IUQ4
P36406	O43623
P36406	O95863
P36406	P14678
P36406	P62328
P36406	P21580
P36406	Q13077
P36406	P63279
P36406	O95872
P36406	Q99569
P36406	P49842
P36406	O75928
P36406	O95715
P36406	Q02930
P36406	Q15040
P36406	Q12815
P36406	O60504
